,Unnamed: 0,avg_rating,movie_id
13188,3980,2.02173913043,13191.0
9275,67,2.50244299674,9278.0
14382,1018,3.08219178082,14386.0
7097,2599,3.10655737705,7099.0
17577,4213,2.70899470899,17581.0
13751,387,4.0,13755.0
2423,2423,3.76815642458,2424.0
9238,30,3.53768796092,9241.0
16769,3405,3.97407407407,16773.0
38,38,2.43617021277,39.0
10739,1531,3.56650246305,10742.0
7943,3445,2.82894736842,7945.0
10689,1481,3.93621621622,10692.0
6520,2022,4.42574257426,6522.0
11804,2596,3.21243523316,11807.0
3524,3524,2.7094972067,3525.0
10916,1708,1.94545454545,10919.0
12308,3100,3.48047485161,12311.0
13552,188,4.44900068918,13556.0
15442,2078,2.95307917889,15446.0
10028,820,3.27586206897,10031.0
15043,1679,2.59677419355,15047.0
9099,4601,4.12543554007,9101.0
8357,3859,2.23,8359.0
4554,56,2.60975609756,4556.0
13708,344,2.82506066623,13712.0
7903,3405,3.88073878628,7905.0
12275,3067,3.5249780894,12278.0
2330,2330,3.42705115002,2331.0
14677,1313,3.55882352941,14681.0
13461,97,2.92885375494,13465.0
11886,2678,3.04149377593,11889.0
3595,3595,3.18525179856,3596.0
1557,1557,3.03365973072,1558.0
3511,3511,4.15277777778,3512.0
16889,3525,3.04761904762,16893.0
6933,2435,3.80137174211,6935.0
14354,990,4.17339428949,14358.0
7904,3406,3.47924528302,7906.0
11284,2076,3.88753387534,11287.0
10459,1251,2.27631578947,10462.0
7200,2702,3.95511221945,7202.0
8174,3676,2.90923566879,8176.0
2579,2579,3.55177448338,2580.0
10341,1133,3.41304635236,10344.0
7467,2969,3.41152263374,7469.0
15293,1929,2.57291666667,15297.0
6392,1894,3.13023037142,6394.0
3243,3243,3.34745762712,3244.0
14297,933,3.26576576577,14301.0
14662,1298,3.62871794872,14666.0
2943,2943,4.0306122449,2944.0
2657,2657,3.0447257384,2658.0
17423,4059,3.77049180328,17427.0
7362,2864,3.8191540347,7364.0
10867,1659,2.76623376623,10870.0
2459,2459,3.30866601753,2460.0
1988,1988,2.46706586826,1989.0
6625,2127,3.40856031128,6627.0
1650,1650,2.8670694864,1651.0
13070,3862,4.17341331624,13073.0
10277,1069,3.82873062016,10280.0
10755,1547,2.91291291291,10758.0
4680,182,4.00641960899,4682.0
6871,2373,3.84444444444,6873.0
6934,2436,2.79462102689,6936.0
15730,2366,2.79310344828,15734.0
9741,533,2.35714285714,9744.0
17671,4307,3.29789029536,17675.0
10620,1412,1.94059405941,10623.0
7524,3026,2.86451116243,7526.0
10240,1032,2.65833039803,10243.0
8529,4031,3.96062382809,8531.0
15118,1754,3.25208913649,15122.0
5533,1035,2.89655172414,5535.0
4389,4389,3.11117196057,4390.0
419,419,3.71345939933,420.0
6385,1887,2.62473572939,6387.0
8177,3679,2.27906976744,8179.0
917,917,3.91774491682,918.0
3207,3207,3.1582697201,3208.0
1098,1098,3.31465517241,1099.0
11932,2724,3.69717480871,11935.0
11686,2478,2.92156862745,11689.0
8626,4128,2.26872246696,8628.0
8812,4314,4.01054162123,8814.0
720,720,2.48396501458,721.0
8801,4303,3.54731128387,8803.0
9958,750,4.0508758852,9961.0
7035,2537,3.88738229755,7037.0
5046,548,3.94326241135,5048.0
4488,4488,3.50284900285,4489.0
2505,2505,4.06565656566,2506.0
4074,4074,3.27659574468,4075.0
5099,601,2.47976878613,5101.0
2288,2288,2.73170731707,2289.0
15817,2453,3.9727520436,15821.0
2205,2205,3.80802792321,2206.0
5301,803,2.97254901961,5303.0
6663,2165,3.0512465374,6665.0
9914,706,2.68269230769,9917.0
5351,853,3.74193548387,5353.0
3380,3380,3.8064516129,3381.0
7501,3003,2.43315508021,7503.0
15187,1823,3.68844221106,15191.0
8049,3551,3.01704701677,8051.0
4530,32,2.51136363636,4532.0
8103,3605,3.45104829652,8105.0
8191,3693,1.81,8193.0
10578,1370,3.16129032258,10581.0
16954,3590,3.56822810591,16958.0
14566,1202,3.73717948718,14570.0
10172,964,2.90407673861,10175.0
539,539,3.3950617284,540.0
8227,3729,3.91159188034,8229.0
325,325,3.29090909091,326.0
4897,399,2.08831908832,4899.0
17475,4111,3.53060082439,17479.0
15819,2455,3.36220472441,15823.0
1639,1639,1.76237623762,1640.0
6689,2191,2.70802919708,6691.0
9299,91,2.04225352113,9302.0
3772,3772,3.60678451983,3773.0
12512,3304,3.55067567568,12515.0
5894,1396,3.49519743863,5896.0
912,912,3.375,913.0
6033,1535,3.17857142857,6035.0
12827,3619,2.6958250497,12830.0
4669,171,3.48264029067,4671.0
7569,3071,3.45164457536,7571.0
3974,3974,3.34206272228,3975.0
15741,2377,3.15406162465,15745.0
10323,1115,3.0243902439,10326.0
15200,1836,3.43237704918,15204.0
17320,3956,3.88084116413,17324.0
4078,4078,3.66984126984,4079.0
17765,4401,2.49859238406,17769.0
11978,2770,3.18811881188,11981.0
10079,871,2.66645958874,10082.0
7314,2816,2.46601941748,7316.0
3408,3408,3.08620689655,3409.0
13513,149,3.35465448315,13517.0
1552,1552,3.85139022052,1553.0
15088,1724,3.37209302326,15092.0
15269,1905,3.09134615385,15273.0
2931,2931,3.38394793926,2932.0
7738,3240,3.44086021505,7740.0
1815,1815,2.59433156906,1816.0
15212,1848,2.82318104907,15216.0
13760,396,4.0,13764.0
10856,1648,3.81478537361,10859.0
11935,2727,3.05894519131,11938.0
9564,356,3.80012262416,9567.0
16844,3480,2.70763108614,16848.0
15465,2101,3.85805422648,15469.0
7478,2980,1.98611111111,7480.0
289,289,3.58449980063,290.0
10265,1057,2.48958333333,10268.0
7790,3292,2.91538461538,7792.0
4234,4234,2.76223776224,4235.0
1423,1423,2.81701631702,1424.0
7709,3211,3.01282051282,7711.0
4582,84,1.80882352941,4584.0
5822,1324,2.6404494382,5824.0
